"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"465","RT @NME: David Lynch teases more Twin Peaks, saying one storyline ‘is calling’ https://t.co/36GAgoCsjO https://t.co/7cjVmZUcqN",FALSE,0,NA,2018-06-23 14:32:09,FALSE,NA,"1010530956925702144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kevinetienneb",86,TRUE,FALSE,NA,NA
"466","RT @DianePodcast: Guardian does good intyvooage https://t.co/VKICPzgpoE",FALSE,0,NA,2018-06-23 14:30:42,FALSE,NA,"1010530591551311872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beanorojo",22,TRUE,FALSE,NA,NA
"467","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:27:26,FALSE,NA,"1010529770055065600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arathegirl",79,TRUE,FALSE,NA,NA
"468","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:26:41,FALSE,NA,"1010529579545628672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SilaHawk",79,TRUE,FALSE,NA,NA
"469","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:21:46,FALSE,NA,"1010528342804746247",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bibacus",79,TRUE,FALSE,NA,NA
"470","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:20:52,FALSE,NA,"1010528117218213888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexandre_comte",79,TRUE,FALSE,NA,NA
"471","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:20:42,FALSE,NA,"1010528073559826433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MariaHasAQuill",79,TRUE,FALSE,NA,NA
"472","RT @guardianculture: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/sqvHqX8S1Z",FALSE,0,NA,2018-06-23 14:15:09,FALSE,NA,"1010526677221294081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zarzamora9",5,TRUE,FALSE,NA,NA
"473","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:10:49,FALSE,NA,"1010525585972477953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JLinSpace",79,TRUE,FALSE,NA,NA
"474","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:09:56,FALSE,NA,"1010525364567924738",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dandufresne",79,TRUE,FALSE,NA,NA
"475","David Lynch: ‘You gotta be selfish. It's a terrible thing’ - sad, but true <ed><U+00A0><U+00BE><ed><U+00B5><U+0082> https://t.co/dXbOg4LhXH",FALSE,0,NA,2018-06-23 14:07:42,FALSE,NA,"1010524804716298240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shreyatanisha",0,FALSE,FALSE,NA,NA
"476","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 14:04:03,FALSE,NA,"1010523884095930369",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bellefromtusca",79,TRUE,FALSE,NA,NA
"477","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:58:17,FALSE,NA,"1010522434926235648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","punkworldorder",79,TRUE,FALSE,NA,NA
"478","David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/MAassMIkyH",FALSE,0,NA,2018-06-23 13:56:01,FALSE,NA,"1010521864295378945",NA,"<a href=""https://www.chicmi.com/"" rel=""nofollow"">Chicmi</a>","artmixxer",0,FALSE,FALSE,NA,NA
"479","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:55:35,FALSE,NA,"1010521752886300675",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisKorkey",79,TRUE,FALSE,NA,NA
"480","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:53:12,FALSE,NA,"1010521156112220160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","traikman",79,TRUE,FALSE,NA,NA
"481","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:53:03,FALSE,NA,"1010521118195814401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ata_GZare",79,TRUE,FALSE,NA,NA
"482","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:48:30,FALSE,NA,"1010519970273349632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FerdyJoe_",79,TRUE,FALSE,NA,NA
"483","RT @gains_tweets: God damn this twin peaks/death grips crossover meme https://t.co/Uw4PO6Fndn",FALSE,0,NA,2018-06-23 13:41:17,FALSE,NA,"1010518155108773888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gains_tweets",6,TRUE,FALSE,NA,NA
"484","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:40:37,FALSE,NA,"1010517989567975424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuitablyManic",79,TRUE,FALSE,NA,NA
"485","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:40:29,FALSE,NA,"1010517954335854592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wright80lee",79,TRUE,FALSE,NA,NA
"486","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:38:12,FALSE,NA,"1010517381641330689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","enrirosasdiaz",79,TRUE,FALSE,NA,NA
"487","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:37:59,FALSE,NA,"1010517324309426176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","klausdodds",79,TRUE,FALSE,NA,NA
"488","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:36:53,FALSE,NA,"1010517046394834944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimonKMatthews",79,TRUE,FALSE,NA,NA
"489","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:36:40,FALSE,NA,"1010516994146422784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","apolocarol",79,TRUE,FALSE,NA,NA
"490","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:34:41,FALSE,NA,"1010516492792881153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KaylaBurrows2",79,TRUE,FALSE,NA,NA
"491","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:33:58,FALSE,NA,"1010516315919003648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SandraJooble",79,TRUE,FALSE,NA,NA
"492","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:33:02,FALSE,NA,"1010516079268057089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seanm03068811",79,TRUE,FALSE,NA,NA
