"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"296","Notes on how David Lynch's Twin Peaks S3 darkly mirrors viewer confusion and dramatises its own wtf‚Ä¶ https://t.co/8Vtlm7p5DB",FALSE,4,NA,2017-06-25 09:13:36,TRUE,NA,"878903995166863361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AntBit",1,FALSE,FALSE,NA,NA
"297","@AntBit Not clear in your article that Twin Peaks' first series had multiple directors.",FALSE,0,"AntBit",2017-06-25 09:12:48,FALSE,NA,"878903792602886144","404750020","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brendonconnelly",0,FALSE,FALSE,NA,NA
"298","#NowWatching Twin Peaks S03E07",FALSE,0,NA,2017-06-25 09:10:33,FALSE,NA,"878903226581606400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tenta_Mandylion",0,FALSE,FALSE,NA,NA
"299","5. Twin Peaks",FALSE,0,"kissecatte",2017-06-25 08:38:39,FALSE,"878894431541370884","878895199031873537","783479042141986816","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kissecatte",0,FALSE,FALSE,NA,NA
"300","j'entame les deux derniers √©pisodes de la saison 2 de twin peaks",FALSE,3,NA,2017-06-25 08:34:09,FALSE,NA,"878894069505720320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fah_renheit451",0,FALSE,FALSE,NA,NA
"301","@aliceltb 'Twin Peaks: The Return' currently showing on Sky is incredible.",FALSE,1,"aliceltb",2017-06-25 08:09:16,FALSE,"878722449629749249","878887805946142721","100560704","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Les_Ecrehous",0,FALSE,FALSE,NA,NA
"302","What you need to know about the live music in #TwinPeaks https://t.co/SbXRXlk44E",FALSE,1,NA,2017-06-25 07:45:22,FALSE,NA,"878881792610250752",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FOXCinemas",0,FALSE,FALSE,NA,NA
"303","RT @a_listed_crime: Twin Peaks noodling lol https://t.co/pQvuncjQjs",FALSE,0,NA,2017-06-25 07:03:19,FALSE,NA,"878871210486104064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adeptly_Inept_",2,TRUE,FALSE,NA,NA
"304","@GeoffLRamsey I remember in an old episode of GTA V Let's Play you were talking the show Twin Peaks I was wondering if its worth watching it",FALSE,0,"GeoffLRamsey",2017-06-25 06:45:12,FALSE,NA,"878866651051065344","55309264","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NiallandoAFC",0,FALSE,FALSE,NA,NA
"305","Is the Red Room a secret wellness spa? Because Kyle and Sheryl sure look great in #TwinPeaks https://t.co/hw4CSAib46",FALSE,0,NA,2017-06-25 05:25:10,FALSE,NA,"878846510397628416",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FOXCinemas",0,FALSE,FALSE,NA,NA
"306","@millennialfizzy twin peaks sweetie i'm so sorry an ugly ass bitch would say something like that",FALSE,1,"millennialfizzy",2017-06-25 05:20:44,FALSE,"878845106580848640","878845392858763264","2765567209","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","deedeetbh",0,FALSE,FALSE,NA,NA
"307","RT @backrowfilms: NEW EPISODE! Here's our spoiler-special in which we try and work out WTF was happening in Eps 1&amp;2 of #TwinPeaks 
https://‚Ä¶",FALSE,0,NA,2017-06-25 04:00:27,FALSE,NA,"878825190591008768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rebecca93718792",6,TRUE,FALSE,NA,NA
"308","So Poundland have just launched a Twin Peaks chocolate bar and it looks suspiciously familiar‚Ä¶ https://t.co/SVaqNurruo",FALSE,0,NA,2017-06-25 04:00:00,TRUE,NA,"878825077642452992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","heatworld",0,FALSE,FALSE,NA,NA
"309","RT @Memories400: Meanwhile ...Twin Peaks The Return: amazing, compelling, scary, amazing, beautiful, disturbing, compassionate, daring, com‚Ä¶",FALSE,0,NA,2017-06-25 03:51:14,FALSE,NA,"878822867768627201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndreaW19693346",1,TRUE,FALSE,NA,NA
"310","if i hear one more person compare riverdale to twin peaks",FALSE,3,NA,2017-06-25 03:35:06,FALSE,NA,"878818811410907138",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deedeetbh",0,FALSE,FALSE,NA,NA
"311","twinpeaksdudes's video https://t.co/ReqsJOk6Bb the guy out of stranger things band covering twin peaks so good!",FALSE,0,NA,2017-06-25 02:59:07,FALSE,NA,"878809755527110657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","holvictoriat",0,FALSE,FALSE,NA,NA
"312","@JeremyMonjo The ""cool night"" is clearly whenever Twin Peaks does air, though...",FALSE,0,"JeremyMonjo",2017-06-25 02:30:47,FALSE,"878730965232701441","878802623897513985","614912734","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CatchThatDog",0,FALSE,FALSE,NA,NA
"313","Chromatics ""Shadow"" / Twin Peaks Season 3 (Music Video) https://t.co/IB4GB2Ehaa",FALSE,0,NA,2017-06-25 00:41:45,FALSE,NA,"878775183657644034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Samantha_L0uise",0,FALSE,FALSE,NA,NA
"314","RT @jevakallio: Accidentally watched Ep 5 of the new Twin Peaks instead of Ep 1. Made about as much sense as I expected it to.",FALSE,0,NA,2017-06-25 00:39:49,FALSE,NA,"878774696078004225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tptee",1,TRUE,FALSE,NA,NA
"315","@Marladukharan Fantastic. Guyana is 5 parts amazing; 10 parts stereo-typically Caribbean, 5 parts Twin Peaks.",FALSE,0,"Marladukharan",2017-06-25 00:25:48,FALSE,"878750031389630466","878771169079504896","3308841503","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bourgy",0,FALSE,FALSE,NA,NA
"316","if Becky in Twin Peaks does not die I will be surprised because the thematic similarities to Laura are striking
Lynch king of subversion",FALSE,0,NA,2017-06-25 00:25:34,FALSE,NA,"878771112414502912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mahoumagica",1,FALSE,FALSE,NA,NA
"317","@Slippery_Jack @ScottCollura melds beautifully with The Return. One wonders if it won't change as we spiral back toward s Twin Peaks",FALSE,3,"Slippery_Jack",2017-06-25 00:00:54,FALSE,"878764054998900740","878764906081898496","95305162","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DianePodcast",0,FALSE,FALSE,NA,NA
"318","RT @guardian: Why the new Twin Peaks is way better than the original https://t.co/6E6uSoNbLz",FALSE,0,NA,2017-06-25 00:00:42,FALSE,NA,"878764854651179008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WritingRobert1",49,TRUE,FALSE,NA,NA
"319","The plot has definitely picked up its pace in spite of the sluggish pace of the‚Ä¶well‚Ä¶pace. https://t.co/NrtfrpiXBe",FALSE,1,NA,2017-06-24 23:50:42,FALSE,NA,"878762338119241728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheZReview",0,FALSE,FALSE,NA,NA
"320","Accidentally watched Ep 5 of the new Twin Peaks instead of Ep 1. Made about as much sense as I expected it to.",FALSE,14,NA,2017-06-24 23:44:26,FALSE,NA,"878760758217256962",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jevakallio",1,FALSE,FALSE,NA,NA
"321","@Tu_Infortunio ‚òïÔ∏è Ì†ºÌΩ© con Twin Peaks.",FALSE,0,"Tu_Infortunio",2017-06-24 23:43:37,FALSE,"878715112382713857","878760556102131713","1290428425","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanDominguezCol",0,FALSE,FALSE,NA,NA
"322","Twin Peaks is twisting my melon manÌ†ΩÌ∏ÅÌ†ΩÌ∏ÅÌ†ΩÌ∏Å",FALSE,1,NA,2017-06-24 23:30:26,FALSE,NA,"878757237120012290",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","StigRon",0,FALSE,FALSE,NA,NA
"323","‚ÄòGame Of Thrones‚Äô to ‚ÄòTwin Peaks‚Äô: here‚Äôs why your favorite quirky characters wear eyepatches https://t.co/pYE2KHH5sg",FALSE,0,NA,2017-06-24 23:26:03,FALSE,NA,"878756132210323457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Saruppa",0,FALSE,FALSE,NA,NA
"324","‚ÄòTwin Peaks‚Äô actor Brett Gelman reveals David Lynch‚Äôs secretive casting process https://t.co/WN2r43dxQk",FALSE,0,NA,2017-06-24 23:25:12,FALSE,NA,"878755918787338240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Saruppa",0,FALSE,FALSE,NA,NA
"325","Twin Peaks is I am sorry to say the most awful shite. #emperorsnewclothes",FALSE,5,NA,2017-06-24 23:02:26,FALSE,NA,"878750188755615745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reporterboy",0,FALSE,FALSE,NA,NA
"326","RT @a_listed_crime: Twin Peaks noodling lol https://t.co/pQvuncjQjs",FALSE,0,NA,2017-06-24 22:25:18,FALSE,NA,"878740846723649538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_nterbury",2,TRUE,FALSE,NA,NA
"327","Twin Peaks noodling lol https://t.co/pQvuncjQjs",FALSE,3,NA,2017-06-24 22:22:09,FALSE,NA,"878740052548964352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a_listed_crime",2,FALSE,FALSE,NA,NA
